+---------------------------------------+------+------+--------------------------------+----------+
| NOTE: The Block ID is for very specific low-level purposes only!                                |
| It WILL be different in every world since Minecraft 1.7,                                        |
| because they are dynamically allocated by the game!                                             |
+---------------------------------------+------+------+--------------------------------+----------+
| Registry name                         |   ID | meta | Display name                   |    Count |
| minecraft:stone                       |    1 |    6 | Polished Andesite              |      601 |
| minecraft:stone_brick_stairs          |  109 |    0 | Stone Brick Stairs             |      124 |
| minecraft:stone_brick_stairs          |  109 |    1 | Stone Brick Stairs             |      140 |
| minecraft:stone_brick_stairs          |  109 |    2 | Stone Brick Stairs             |      151 |
| minecraft:stone_brick_stairs          |  109 |    3 | Stone Brick Stairs             |      173 |
| minecraft:stone_brick_stairs          |  109 |    4 | Stone Brick Stairs             |      534 |
| minecraft:stone_brick_stairs          |  109 |    5 | Stone Brick Stairs             |      556 |
| minecraft:stone_brick_stairs          |  109 |    6 | Stone Brick Stairs             |      612 |
| minecraft:stone_brick_stairs          |  109 |    7 | Stone Brick Stairs             |      613 |
| minecraft:stone_button                |   77 |    1 | Button                         |        4 |
| minecraft:stone_button                |   77 |    2 | Button                         |        4 |
| minecraft:stone_button                |   77 |    3 | Button                         |        4 |
| minecraft:stone_button                |   77 |    4 | Button                         |        4 |
| minecraft:stone_pressure_plate        |   70 |    0 | Stone Pressure Plate           |       52 |
| minecraft:stone_slab                  |   44 |    0 | Stone Slab                     |       12 |
| minecraft:stone_slab                  |   44 |    4 | Bricks Slab                    |        2 |
| minecraft:stone_slab                  |   44 |    5 | Stone Bricks Slab              |       11 |
| minecraft:stone_slab                  |   44 |    6 | Nether Brick Slab              |       18 |
| minecraft:stone_slab                  |   44 |   11 | Cobblestone Slab               |        4 |
| minecraft:stone_slab                  |   44 |   13 | Stone Bricks Slab              |        8 |
| minecraft:stone_stairs                |   67 |    0 | Cobblestone Stairs             |      222 |
| minecraft:stone_stairs                |   67 |    1 | Cobblestone Stairs             |      153 |
| minecraft:stone_stairs                |   67 |    2 | Cobblestone Stairs             |      152 |
| minecraft:stone_stairs                |   67 |    3 | Cobblestone Stairs             |      152 |
| minecraft:stone_stairs                |   67 |    4 | Cobblestone Stairs             |      813 |
| minecraft:stone_stairs                |   67 |    5 | Cobblestone Stairs             |      839 |
| minecraft:stone_stairs                |   67 |    6 | Cobblestone Stairs             |      810 |
| minecraft:stone_stairs                |   67 |    7 | Cobblestone Stairs             |      846 |
| minecraft:stonebrick                  |   98 |    0 | Stone Bricks                   |    16061 |
| minecraft:stonebrick                  |   98 |    1 | Mossy Stone Bricks             |    13415 |
| minecraft:stonebrick                  |   98 |    2 | Cracked Stone Bricks           |    11792 |
| minecraft:stonebrick                  |   98 |    3 | Chiseled Stone Bricks          |       32 |
| minecraft:tallgrass                   |   31 |    1 | Shrub                          |    28306 |
| minecraft:tallgrass                   |   31 |    2 | Shrub                          |      731 |
| minecraft:tnt                         |   46 |    0 | TNT                            |       87 |
